ds,yhat,Product Name,week
2026-03-02,19.96023052930832,Apricot Wax-Dyed and Nakshi Kantha Embroidered Silk Saree,10
2026-03-09,19.984428584575653,Apricot Wax-Dyed and Nakshi Kantha Embroidered Silk Saree,11
2026-03-16,19.90459495782852,Apricot Wax-Dyed and Nakshi Kantha Embroidered Silk Saree,12
2026-03-23,19.89172726869583,Apricot Wax-Dyed and Nakshi Kantha Embroidered Silk Saree,13
2026-03-30,19.884155213832855,Apricot Wax-Dyed and Nakshi Kantha Embroidered Silk Saree,14
2025-12-29,53.84443998336792,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,1
2026-01-05,53.231471478939056,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,2
2026-01-12,52.36901217699051,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,3
2026-01-19,51.83893099427223,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,4
2026-01-26,50.67633229494095,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,5
2026-02-02,50.11276710033417,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,6
2026-02-09,49.45975333452225,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,7
2026-02-16,49.11155390739441,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,8
2026-02-23,48.74258875846863,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,9
2026-03-02,48.68327620625496,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,10
2026-03-09,48.62003180384636,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,11
2026-03-16,48.58775633573532,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,12
2026-03-23,48.50813943147659,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,13
2026-03-30,48.49927541613579,Apricot/Yellow Kantha Odyssey Theme Shalwar Kameez,14
2025-12-29,45.51308524608612,Aqua Balkan Fusion Theme Shalwar Kameez,1
2026-01-05,45.3496367931366,Aqua Balkan Fusion Theme Shalwar Kameez,2
2026-01-12,47.97253680229187,Aqua Balkan Fusion Theme Shalwar Kameez,3
2026-01-19,46.088783860206604,Aqua Balkan Fusion Theme Shalwar Kameez,4
2026-01-26,42.24802148342132,Aqua Balkan Fusion Theme Shalwar Kameez,5
2026-02-02,40.56227993965148,Aqua Balkan Fusion Theme Shalwar Kameez,6
2026-02-09,37.73372423648834,Aqua Balkan Fusion Theme Shalwar Kameez,7
2026-02-16,36.484616816043854,Aqua Balkan Fusion Theme Shalwar Kameez,8
2026-02-23,34.490193247795105,Aqua Balkan Fusion Theme Shalwar Kameez,9
2026-03-02,33.72029197216034,Aqua Balkan Fusion Theme Shalwar Kameez,10
2026-03-09,32.09480893611908,Aqua Balkan Fusion Theme Shalwar Kameez,11
2026-03-16,31.575375020503994,Aqua Balkan Fusion Theme Shalwar Kameez,12
2026-03-23,30.250530064105984,Aqua Balkan Fusion Theme Shalwar Kameez,13
2026-03-30,30.08448791503906,Aqua Balkan Fusion Theme Shalwar Kameez,14
2025-12-29,5.479142725467682,Aqua Crochet Embroidered Viscose Shawl,1
2026-01-05,5.682335555553436,Aqua Crochet Embroidered Viscose Shawl,2
2026-01-12,5.603011935949326,Aqua Crochet Embroidered Viscose Shawl,3
2026-01-19,5.61430224776268,Aqua Crochet Embroidered Viscose Shawl,4
2026-01-26,5.401421517133713,Aqua Crochet Embroidered Viscose Shawl,5
2026-02-02,5.357865631580353,Aqua Crochet Embroidered Viscose Shawl,6
2026-02-09,5.222450405359268,Aqua Crochet Embroidered Viscose Shawl,7
2026-02-16,5.181411564350128,Aqua Crochet Embroidered Viscose Shawl,8
2026-02-23,5.093297302722931,Aqua Crochet Embroidered Viscose Shawl,9
2026-03-02,5.06392839550972,Aqua Crochet Embroidered Viscose Shawl,10
2026-03-09,5.014343798160553,Aqua Crochet Embroidered Viscose Shawl,11
2026-03-16,4.976525187492371,Aqua Crochet Embroidered Viscose Shawl,12
2026-03-23,4.933779686689377,Aqua Crochet Embroidered Viscose Shawl,13
2026-03-30,4.928095519542694,Aqua Crochet Embroidered Viscose Shawl,14
2025-12-29,106.05139541625978,Aqua Dyed and Embroidered Cotton Kurta,1
2026-01-05,109.10360336303712,Aqua Dyed and Embroidered Cotton Kurta,2
2026-01-12,110.15451240539552,Aqua Dyed and Embroidered Cotton Kurta,3
2026-01-19,106.70740318298341,Aqua Dyed and Embroidered Cotton Kurta,4
2026-01-26,100.22102069854738,Aqua Dyed and Embroidered Cotton Kurta,5
2026-02-02,98.38080215454103,Aqua Dyed and Embroidered Cotton Kurta,6
2026-02-09,94.64693212509157,Aqua Dyed and Embroidered Cotton Kurta,7
2026-02-16,93.49283409118654,Aqua Dyed and Embroidered Cotton Kurta,8
2026-02-23,91.36361503601076,Aqua Dyed and Embroidered Cotton Kurta,9
2026-03-02,90.61460447311403,Aqua Dyed and Embroidered Cotton Kurta,10
2026-03-09,89.5890350341797,Aqua Dyed and Embroidered Cotton Kurta,11
2026-03-16,89.35831928253175,Aqua Dyed and Embroidered Cotton Kurta,12
2026-03-23,88.8890724182129,Aqua Dyed and Embroidered Cotton Kurta,13
2026-03-30,88.80037593841554,Aqua Dyed and Embroidered Cotton Kurta,14
2025-12-29,25.553765758872032,Aqua Embroidered Endi Silk-Cotton Panjabi,1
2026-01-05,23.804388269782066,Aqua Embroidered Endi Silk-Cotton Panjabi,2
2026-01-12,25.651362910866737,Aqua Embroidered Endi Silk-Cotton Panjabi,3
2026-01-19,25.657059490680695,Aqua Embroidered Endi Silk-Cotton Panjabi,4
2026-01-26,24.400995507836342,Aqua Embroidered Endi Silk-Cotton Panjabi,5
2026-02-02,24.201541990041733,Aqua Embroidered Endi Silk-Cotton Panjabi,6
2026-02-09,23.60115420818329,Aqua Embroidered Endi Silk-Cotton Panjabi,7
2026-02-16,23.410880848765373,Aqua Embroidered Endi Silk-Cotton Panjabi,8
